,A:総入園者数,B:有料入園者数,C:無料入園者数,D:Cのうち幼児,E:Cのうち小学生,F:Cのうち中学生,G:Cのうち障がい者,H:Cのうち市内６５歳以上,I:CのうちD～H以外,month,wod_x,さっぽろ（南北線）,さっぽろ（東豊線）,すすきの,大通（南北線）,大通（東西線）,大通（東豊線）,wod_y,気温(℃),風向(度:0～359),風速(m/s),降水量(mm),積雪深(cm),J1,J2,J3,J4,J5
2019-05-28,2628.0,1271.0,1357.0,751.0,18.0,116.0,58.0,188.0,226.0,5,1,54198,32372,14468,41476,20747,14924,1,21.362499999999997,183.22916666666666,0.8118055555555556,0.0,0.0,1142.0389610389611,1019.1558441558442,1354.6363636363637,1232.5324675324675,810.8701298701299
2019-05-29,2981.0,1608.0,1373.0,656.0,61.0,92.0,70.0,249.0,245.0,5,2,55481,32796,15351,42985,21581,15494,2,16.83263888888889,254.26388888888889,0.5173611111111112,1.0,0.0,1232.4025974025974,1035.4805194805194,1321.7012987012988,1475.3766233766235,887.9350649350649
2019-05-30,3163.0,1633.0,1530.0,907.0,23.0,121.0,65.0,223.0,191.0,5,3,55391,32818,14791,42751,21599,15564,3,19.01111111111111,222.79861111111111,0.5888888888888889,0.0,0.0,1194.8961038961038,987.1168831168832,1222.6883116883116,1395.2857142857142,894.9090909090909
2019-05-31,5278.0,2268.0,3010.0,2005.0,14.0,469.0,67.0,163.0,292.0,5,4,60551,33523,17495,46385,22222,15552,4,18.13125,168.07638888888889,0.8486111111111111,0.0,0.0,1233.1038961038962,1062.8311688311687,1299.1948051948052,1451.6753246753246,857.3376623376623
2019-06-01,3994.0,2533.0,1461.0,893.0,232.0,21.0,62.0,141.0,112.0,6,5,47596,24371,18137,38412,15790,11304,5,18.646527777777777,176.625,0.6083333333333333,2.0,0.0,1080.7402597402597,973.6753246753246,1175.1948051948052,1243.7402597402597,989.3636363636364
2019-06-02,6971.0,4173.0,2798.0,1503.0,777.0,68.0,126.0,199.0,125.0,6,6,39782,19270,14793,32971,13647,9403,6,19.40277777777778,216.75,0.47847222222222224,0.0,0.0,1049.025974025974,966.038961038961,1241.8051948051948,1193.844155844156,988.1818181818181
2019-06-03,5705.0,2804.0,2901.0,928.0,1406.0,4.0,82.0,302.0,179.0,6,0,54661,30816,13800,40524,20786,14222,0,21.633333333333333,217.29861111111111,0.7645833333333333,0.0,0.0,1136.7142857142858,1003.2337662337662,1286.6623376623377,1182.857142857143,881.8311688311688
2019-06-04,1877.0,955.0,922.0,548.0,38.0,3.0,45.0,157.0,131.0,6,1,54644,32943,13888,40528,20299,14967,1,17.130555555555556,260.9236111111111,0.5138888888888888,0.5,0.0,1373.2597402597403,1060.8051948051948,1407.5194805194806,1295.012987012987,890.7402597402597
2019-06-05,1044.0,566.0,478.0,267.0,15.0,15.0,31.0,52.0,98.0,6,2,54933,33147,14530,42910,21674,15610,2,15.600694444444445,334.6111111111111,0.7555555555555555,6.5,0.0,1583.2207792207791,981.7792207792207,1350.4675324675325,1449.090909090909,925.9480519480519
2019-06-06,2798.0,1408.0,1390.0,770.0,39.0,41.0,63.0,209.0,268.0,6,3,56159,33446,14704,43871,21961,15559,3,17.242361111111112,287.61805555555554,0.6618055555555555,0.0,0.0,1323.2727272727273,986.2597402597403,1427.948051948052,1377.3116883116884,906.2467532467532
